spot,T,K,r,q,sigma,mkt price
112.33,0.49,65,0.0175,0.0357,0.5049,4
112.33,0.49,70,0.0175,0.0357,0.5049,4.3
112.33,0.49,75,0.0175,0.0357,0.5049,4.9
112.33,0.49,80,0.0175,0.0357,0.5049,5.9
112.33,0.49,85,0.0175,0.0357,0.5049,6.9
112.33,0.49,90,0.0175,0.0357,0.5049,8.2
112.33,0.49,95,0.0175,0.0357,0.5049,9.8
112.33,0.49,100,0.0175,0.0357,0.5049,11.4
112.33,0.49,105,0.0175,0.0357,0.5049,13.3
112.33,0.49,110,0.0175,0.0357,0.5049,15.6
112.33,0.49,115,0.0175,0.0357,0.5049,18
112.33,0.49,120,0.0175,0.0357,0.5049,20.7
112.33,0.49,130,0.0175,0.0357,0.5049,27.1
112.33,0.49,135,0.0175,0.0357,0.5049,30.7
112.33,0.49,140,0.0175,0.0357,0.5049,34.6
112.33,0.49,145,0.0175,0.0357,0.5049,38.4
112.33,0.49,150,0.0175,0.0357,0.5049,42.5
112.33,0.49,155,0.0175,0.0357,0.5049,46.7
112.33,0.49,160,0.0175,0.0357,0.5049,51.3
112.33,0.49,165,0.0175,0.0357,0.5049,55.6